mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100002,scenario_17,7724839.974981678,-3067252.32034274,3067252.32034274,2.51848859115656
Rail,100002,scenario_18,4069535.5755763794,-3067252.32034274,3067252.32034274,1.3267690918631834
Rail,100002,scenario_19,6160363.359320496,-3067252.32034274,3067252.32034274,2.0084305808372904
Rail,100002,scenario_2,4071681.436006823,-3067252.32034274,3067252.32034274,1.327468695353973
Rail,100002,scenario_20,8708260.88278047,-3067252.32034274,3067252.32034274,2.8391080919640137
Rail,100002,scenario_21,7826627.065455552,-3067252.32034274,3067252.32034274,2.5516736962093134
Rail,100002,scenario_22,6418324.209669972,-3067252.32034274,3067252.32034274,2.0925321882070587
Rail,100002,scenario_23,4390154.817769073,-3067252.32034274,3067252.32034274,1.4312988822773176
Rail,100002,scenario_24,8298738.733344124,-3067252.32034274,3067252.32034274,2.7055937583957252
Rail,100002,scenario_25,6512069.575761699,-3067252.32034274,3067252.32034274,2.123095492526689
Rail,100002,scenario_26,4012972.246137474,-3067252.32034274,3067252.32034274,1.3083280496757625
Rail,100002,scenario_27,5755193.280042967,-3067252.32034274,3067252.32034274,1.8763351296119883
Rail,100002,scenario_28,2917635.7311524483,-3067252.32034274,3067252.32034274,0.9512212972509633
Rail,100002,scenario_29,7307330.40075006,-3067252.32034274,3067252.32034274,2.3823701598613596
Rail,100002,scenario_3,6935839.945130345,-3067252.32034274,3067252.32034274,2.2612550976423496
Rail,100002,scenario_30,6655833.85282868,-3067252.32034274,3067252.32034274,2.169966197004929
Rail,100002,scenario_31,7577864.802362855,-3067252.32034274,3067252.32034274,2.470571055437686
Rail,100002,scenario_32,8010243.082693861,-3067252.32034274,3067252.32034274,2.611537052093185
Rail,100002,scenario_33,5755394.759497088,-3067252.32034274,3067252.32034274,1.8764008168894206
Rail,100002,scenario_34,9328041.287985835,-3067252.32034274,3067252.32034274,3.0411718090879147
Rail,100002,scenario_35,7628008.974552506,-3067252.32034274,3067252.32034274,2.4869192938454243
Rail,100002,scenario_36,6431775.650950378,-3067252.32034274,3067252.32034274,2.0969176902380435
Rail,100002,scenario_37,9305999.17379604,-3067252.32034274,3067252.32034274,3.033985535548041
Rail,100002,scenario_38,7323520.238285908,-3067252.32034274,3067252.32034274,2.387648446694325
Rail,100002,scenario_39,6512101.946805457,-3067252.32034274,3067252.32034274,2.1231060462863334
Rail,100002,scenario_4,5018971.776435902,-3067252.32034274,3067252.32034274,1.6363087389807807
Rail,100002,scenario_40,7542274.785977268,-3067252.32034274,3067252.32034274,2.4589678312263796
Rail,100002,scenario_41,8219484.206203227,-3067252.32034274,3067252.32034274,2.679754825414809
Rail,100002,scenario_42,9478857.051843729,-3067252.32034274,3067252.32034274,3.090341472391337
Rail,100002,scenario_43,6680291.972543273,-3067252.32034274,3067252.32034274,2.1779401480073886
Rail,100002,scenario_44,7893482.248474842,-3067252.32034274,3067252.32034274,2.5734701368137887
Rail,100002,scenario_45,6629815.592224878,-3067252.32034274,3067252.32034274,2.1614836015460415
Rail,100002,scenario_46,7362604.865171059,-3067252.32034274,3067252.32034274,2.400391000225358
Rail,100002,scenario_47,4799256.869978777,-3067252.32034274,3067252.32034274,1.5646762537757246
Rail,100002,scenario_48,5464013.573581415,-3067252.32034274,3067252.32034274,1.7814033548341588
Rail,100002,scenario_49,6863140.520263381,-3067252.32034274,3067252.32034274,2.2375532898762245
Rail,100002,scenario_5,7299729.181689128,-3067252.32034274,3067252.32034274,2.379891974740912
Rail,100002,scenario_50,6898018.393332806,-3067252.32034274,3067252.32034274,2.2489243377806005
Rail,100002,scenario_51,7104847.823986953,-3067252.32034274,3067252.32034274,2.3163558396764192
Rail,100002,scenario_52,10036205.320148474,-3067252.32034274,3067252.32034274,3.272050771169361
Rail,100002,scenario_53,8859063.832224468,-3067252.32034274,3067252.32034274,2.8882735774520634
Rail,100002,scenario_54,10551255.069957146,-3067252.32034274,3067252.32034274,3.4399697083864726
Rail,100002,scenario_55,6793189.16649899,-3067252.32034274,3067252.32034274,2.2147474211511584
Rail,100002,scenario_56,7927351.022051657,-3067252.32034274,3067252.32034274,2.5845121933645943
Rail,100002,scenario_57,5892393.781731215,-3067252.32034274,3067252.32034274,1.921065881229096
Rail,100002,scenario_58,6087887.231765735,-3067252.32034274,3067252.32034274,1.9848015735091087
Rail,100002,scenario_59,5388817.2811072115,-3067252.32034274,3067252.32034274,1.7568875065697418
Rail,100002,scenario_6,6373346.620556402,-3067252.32034274,3067252.32034274,2.0778683834671394
Rail,100002,scenario_60,6142728.748992953,-3067252.32034274,3067252.32034274,2.0026812623966177
Rail,100002,scenario_61,5891870.806683329,-3067252.32034274,3067252.32034274,1.9208953784489962
Rail,100002,scenario_62,6629299.675276601,-3067252.32034274,3067252.32034274,2.1613153998807086
Rail,100002,scenario_63,9128719.78662525,-3067252.32034274,3067252.32034274,2.9761880775446574
Rail,100002,scenario_64,8295459.92551608,-3067252.32034274,3067252.32034274,2.7045247860760053
Rail,100002,scenario_65,5719407.358109461,-3067252.32034274,3067252.32034274,1.864668035354315
Rail,100002,scenario_66,5587758.749359189,-3067252.32034274,3067252.32034274,1.8217473379349511
Rail,100002,scenario_67,8045816.537162813,-3067252.32034274,3067252.32034274,2.6231348767106843
Rail,100002,scenario_68,4468075.427451399,-3067252.32034274,3067252.32034274,1.4567029252266175
Rail,100002,scenario_69,4204322.846442272,-3067252.32034274,3067252.32034274,1.3707130706392208
Rail,100002,scenario_7,8618935.275143819,-3067252.32034274,3067252.32034274,2.809985738043463
Rail,100002,scenario_70,4917334.394064602,-3067252.32034274,3067252.32034274,1.6031724424663998
Rail,100002,scenario_71,6905858.510512714,-3067252.32034274,3067252.32034274,2.25148040958725
Rail,100002,scenario_72,3770928.4588636784,-3067252.32034274,3067252.32034274,1.2294157979289777
Rail,100002,scenario_73,3754289.8908188487,-3067252.32034274,3067252.32034274,1.2239912138690103
Rail,100002,scenario_74,7476878.963170264,-3067252.32034274,3067252.32034274,2.43764717808895
Rail,100002,scenario_75,6707401.492088532,-3067252.32034274,3067252.32034274,2.186778520829038
Rail,100002,scenario_76,6040483.831760454,-3067252.32034274,3067252.32034274,1.9693468945148536
Rail,100002,scenario_77,7632057.961815629,-3067252.32034274,3067252.32034274,2.488239363680002
Rail,100002,scenario_78,10429964.278948862,-3067252.32034274,3067252.32034274,3.400425915329783
Rail,100002,scenario_79,7816441.643764896,-3067252.32034274,3067252.32034274,2.548352997216569
