development,scenario,veh_km,status_quo_veh_km,delta_veh_km,delta_pct
628,scenario_89,348772.5966350615,347030.8183515454,1741.7782835161197,0.5019088194500589
629,scenario_89,348282.814876522,347030.8183515454,1251.9965249766246,0.3607738733187497
63,scenario_89,357019.93054772425,347030.8183515454,9989.112196178874,2.878451038910271
648,scenario_89,349015.5055611448,347030.8183515454,1984.6872095994186,0.5719051751734949
662,scenario_89,360212.32926899014,347030.8183515454,13181.510917444772,3.798368969090169
669,scenario_89,346133.66493258864,347030.8183515454,-897.1534189567319,-0.25852269352282925
670,scenario_89,349590.5873991931,347030.8183515454,2559.7690476477146,0.7376200937447133
673,scenario_89,346536.29797832784,347030.8183515454,-494.5203732175287,-0.14250041986662265
678,scenario_89,354174.118076936,347030.8183515454,7143.2997253906215,2.058405002565044
680,scenario_89,350802.1293339826,347030.8183515454,3771.3109824372223,1.0867366190563659
682,scenario_89,357689.51805415686,347030.8183515454,10658.699702611484,3.071398601784734
689,scenario_89,356766.89217904606,347030.8183515454,9736.073827500688,2.805535794702232
694,scenario_89,349582.6260505638,347030.8183515454,2551.807699018449,0.7353259607143723
