development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
143,scenario_19,4.14569624561409,4.145696245621366,8.291392491235456,-81.96687853336334,-73.67548604216427,False,-24098.02355962456,-1204901.177981228
987,scenario_29,0.0,0.0,0.0,-150.40119047556072,-150.40119047556072,False,-49193.72271804798,-2459686.135902399
736,scenario_29,0.0,0.0,0.0,-155.4113855494652,-155.4113855494652,False,-50832.4740234709,-2541623.7011735453
267,scenario_29,87.56864923787361,87.56864923786998,175.1372984757436,-374.22591030190233,-199.0886118261842,False,-65118.566784814415,-3255928.339240721
811,scenario_29,-78.57431509990784,-78.57431509991147,-157.1486301998193,-69.9992981434334,-227.1479283431545,False,-74296.30156224011,-3714815.0781120057
140,scenario_30,64.63924761833914,64.6392476183355,129.27849523667464,-365.35093638370745,-236.07244114694183,False,-77215.3609584789,-3860768.047923945
143,scenario_30,4.145696232677437,4.145696232677437,8.291392465354875,-255.4867699913448,-247.1953775259899,False,-80853.48806579252,-4042674.4032896254
464,scenario_30,4.288720750570064,4.288720750570064,8.577441501140129,-283.5561680691317,-274.97872656793334,False,-89940.95848159486,-4497047.924079743
648,scenario_19,-380.60925369989855,-380.60925369989127,-761.2185073997898,476.4308633126784,-284.7876440871041,False,-93149.29192015696,-4657464.596007849
255,scenario_29,679.8775663797242,679.8775663797205,1359.7551327594447,-1677.6756939638872,-317.9205612044316,False,-103986.51689394948,-5199325.8446974745
764,scenario_30,395.0361746895069,395.0361746895032,790.0723493790101,-1121.127767706057,-331.0554183269851,False,-108282.70974445136,-5414135.487222568
250,scenario_30,959.283833423222,959.2838334232184,1918.5676668464403,-2275.8312718581874,-357.2636050116271,False,-116854.97080588636,-5842748.5402943175
811,scenario_30,-78.57431525951688,-78.57431525951688,-157.14863051903376,-202.12997763731985,-359.2786081562517,False,-117514.04475110731,-5875702.237555366
